basicName,currentDay,currentTime
Soy Milk & Pancakes Breakfast,mon,8.0
Taipei Botanical Garden,mon,9.5
National Museum of History,mon,11.5
Beimen Post Office,mon,13.5
Museum of Contemporary Art Taipei,mon,15.0
Liaoning Street Night Market,mon,16.5
Wufenpu Shopping District,mon,19.0
Accommodation (Airbnb),mon,21.5
Breakfast (Hotel Buffet),tues,8.0
Tamsui Old Street,tues,9.5
Lunch at Waterfront Cafe,tues,11.5
Beitou Hot Springs,tues,13.5
Tamsui Fisherman's Wharf,tues,16.5
Riverside Walk,tues,18.5
